2025-12-14 15:35:29,894 | INFO | knowledgebase-server | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2
2025-12-14 15:35:29,895 | INFO | knowledgebase-server | Loading from existing FAISS store...
2025-12-14 15:35:30,244 | INFO | knowledgebase-server | Loading documents from documents
2025-12-14 15:35:33,291 | INFO | knowledgebase-server | Loaded 1 raw documents
2025-12-14 15:35:33,294 | INFO | knowledgebase-server | Split into 277 chunks
2025-12-14 15:35:37,476 | INFO | knowledgebase-server | Saved embeddings to data\vectordb\embeddings.pkl
2025-12-14 15:35:37,477 | INFO | knowledgebase-server | Vector database initialized successfully
2025-12-14 15:35:37,483 | INFO | knowledgebase-server | ✅ MultiProviderLLM initialized
2025-12-14 15:35:37,484 | INFO | knowledgebase-server |    LLM Status: {'groq': {'available': False, 'model': 'llama-3.1-8b-instant', 'failures': 0}, 'google': {'available': False, 'model': 'gemini-2.0-flash', 'failures': 0}}
2025-12-14 15:35:40,789 | INFO | knowledgebase-server | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2
2025-12-14 15:35:40,790 | INFO | knowledgebase-server | Loading existing embeddings from data\vectordb\embeddings.pkl
2025-12-14 15:35:40,854 | INFO | knowledgebase-server | Loaded 277 document chunks
2025-12-14 15:35:40,855 | INFO | knowledgebase-server | Vector database initialized successfully
2025-12-14 15:36:19,872 | INFO | knowledgebase-server | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2
2025-12-14 15:36:19,873 | INFO | knowledgebase-server | Loading existing embeddings from data\vectordb\embeddings.pkl
2025-12-14 15:36:19,874 | INFO | knowledgebase-server | Loaded 277 document chunks
2025-12-14 15:36:19,876 | INFO | knowledgebase-server | Vector database initialized successfully
2025-12-14 15:36:19,878 | INFO | knowledgebase-server | ✅ MultiProviderLLM initialized
2025-12-14 15:36:19,879 | INFO | knowledgebase-server |    LLM Status: {'groq': {'available': False, 'model': 'llama-3.1-8b-instant', 'failures': 0}, 'google': {'available': False, 'model': 'gemini-2.0-flash', 'failures': 0}}
2025-12-14 15:36:22,761 | INFO | knowledgebase-server | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2
2025-12-14 15:36:22,762 | INFO | knowledgebase-server | Loading existing embeddings from data\vectordb\embeddings.pkl
2025-12-14 15:36:22,763 | INFO | knowledgebase-server | Loaded 277 document chunks
2025-12-14 15:36:22,763 | INFO | knowledgebase-server | Vector database initialized successfully
2025-12-14 15:39:02,212 | INFO | knowledgebase-server | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2
2025-12-14 15:39:02,213 | INFO | knowledgebase-server | Loading existing embeddings from data\vectordb\embeddings.pkl
2025-12-14 15:39:02,214 | INFO | knowledgebase-server | Loaded 277 document chunks
2025-12-14 15:39:02,215 | INFO | knowledgebase-server | Vector database initialized successfully
2025-12-14 15:39:02,219 | INFO | knowledgebase-server | ✅ MultiProviderLLM initialized
2025-12-14 15:39:02,219 | INFO | knowledgebase-server |    LLM Status: {'groq': {'available': False, 'model': 'llama-3.1-8b-instant', 'failures': 0}, 'google': {'available': False, 'model': 'gemini-2.0-flash', 'failures': 0}}
2025-12-14 15:39:05,355 | INFO | knowledgebase-server | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2
2025-12-14 15:39:05,356 | INFO | knowledgebase-server | Loading existing embeddings from data\vectordb\embeddings.pkl
2025-12-14 15:39:05,358 | INFO | knowledgebase-server | Loaded 277 document chunks
2025-12-14 15:39:05,360 | INFO | knowledgebase-server | Vector database initialized successfully
2025-12-14 15:39:46,405 | INFO | knowledgebase-server | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2
2025-12-14 15:39:46,405 | INFO | knowledgebase-server | Loading existing embeddings from data\vectordb\embeddings.pkl
2025-12-14 15:39:46,407 | INFO | knowledgebase-server | Loaded 277 document chunks
2025-12-14 15:39:46,407 | INFO | knowledgebase-server | Vector database initialized successfully
2025-12-14 15:39:46,410 | INFO | knowledgebase-server | ✅ MultiProviderLLM initialized
2025-12-14 15:39:46,410 | INFO | knowledgebase-server |    LLM Status: {'groq': {'available': False, 'model': 'llama-3.1-8b-instant', 'failures': 0}, 'google': {'available': False, 'model': 'gemini-2.0-flash', 'failures': 0}}
2025-12-14 15:39:49,302 | INFO | knowledgebase-server | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2
2025-12-14 15:39:49,304 | INFO | knowledgebase-server | Loading existing embeddings from data\vectordb\embeddings.pkl
2025-12-14 15:39:49,305 | INFO | knowledgebase-server | Loaded 277 document chunks
2025-12-14 15:39:49,305 | INFO | knowledgebase-server | Vector database initialized successfully
2025-12-14 15:58:21,555 | INFO | knowledgebase-server | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2
2025-12-14 15:58:21,556 | INFO | knowledgebase-server | Loading existing embeddings from data\vectordb\embeddings.pkl
2025-12-14 15:58:21,557 | INFO | knowledgebase-server | Loaded 277 document chunks
2025-12-14 15:58:21,558 | INFO | knowledgebase-server | Vector database initialized successfully
2025-12-14 15:58:25,424 | INFO | knowledgebase-server | ✅ MultiProviderLLM initialized
2025-12-14 15:58:25,424 | INFO | knowledgebase-server |    LLM Status: {'groq': {'available': True, 'model': 'llama-3.1-8b-instant', 'failures': 0}, 'google': {'available': True, 'model': 'gemini-2.0-flash', 'failures': 0}}
2025-12-14 15:58:28,916 | INFO | knowledgebase-server | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2
2025-12-14 15:58:28,916 | INFO | knowledgebase-server | Loading existing embeddings from data\vectordb\embeddings.pkl
